year,month,day,effectivity,deep sleep,quality sleep,time asleep,time awake
2022,7,2,"96,6",10262000000000.0,21305000000000.0,28920000000000.0,1020000000000.0
2022,7,3,"90,9",7289000000000.0,17415000000000.0,24600000000000.0,2460000000000.0
2022,7,4,"98,3",13244000000000.0,23139000000000.0,28380000000000.0,480000000000.0
2022,7,5,"69,4",876000000000.0,20652000000000.0,31320000000000.0,11880000000000.0
2022,7,6,"95,5",9000000000000.0,19507000000000.0,27000000000000.0,1260000000000.0
2022,7,7,"100,0",11200000000000.0,19186000000000.0,25200000000000.0,0.0
2022,7,8,"100,0",10100000000000.0,23228000000000.0,30300000000000.0,0.0
2022,7,9,"100,0",13573000000000.0,25658000000000.0,33480000000000.0,0.0
2022,7,10,"94,7",16875000000000.0,24921000000000.0,30000000000000.0,1680000000000.0
2022,7,11,"97,1",10136000000000.0,19588000000000.0,25800000000000.0,780000000000.0
2022,7,12,"91,5",8118000000000.0,18632000000000.0,27060000000000.0,2520000000000.0
2022,7,13,"93,7",17584000000000.0,24769000000000.0,30540000000000.0,2040000000000.0
2022,7,14,"100,0",11990000000000.0,24937000000000.0,32280000000000.0,0.0
2022,7,15,"100,0",8981000000000.0,21564000000000.0,28740000000000.0,0.0
2022,7,16,"89,9",12060000000000.0,17914000000000.0,24120000000000.0,2700000000000.0
2022,7,17,"89,0",9406000000000.0,22372000000000.0,29160000000000.0,3600000000000.0
2022,7,18,"100,0",12625000000000.0,23986000000000.0,29760000000000.0,0.0
2022,7,19,"84,6",9735000000000.0,16659000000000.0,24780000000000.0,4500000000000.0
2022,7,20,"94,9",9708000000000.0,16748000000000.0,21180000000000.0,1140000000000.0
2022,7,21,"100,0",13577000000000.0,23614000000000.0,31680000000000.0,0.0
2022,7,22,"97,7",9145000000000.0,22366000000000.0,30180000000000.0,720000000000.0
2022,7,23,"95,5",14592000000000.0,26743000000000.0,31920000000000.0,1500000000000.0
2022,7,24,"100,0",9200000000000.0,20042000000000.0,27600000000000.0,0.0
2022,7,25,"95,6",13006000000000.0,22221000000000.0,28800000000000.0,1320000000000.0
2022,7,26,"89,4",3742000000000.0,17757000000000.0,25260000000000.0,3000000000000.0
2022,7,27,"100,0",12647000000000.0,24948000000000.0,32520000000000.0,0.0
2022,7,28,"90,2",10992000000000.0,20285000000000.0,27480000000000.0,3000000000000.0
2022,7,29,"88,4",7163000000000.0,15176000000000.0,23280000000000.0,3060000000000.0
2022,7,30,"81,6",4564000000000.0,17701000000000.0,25560000000000.0,5760000000000.0
2022,7,31,"95,8",9644000000000.0,21713000000000.0,26040000000000.0,1140000000000.0
2022,8,1,"94,7",4500000000000.0,17158000000000.0,27900000000000.0,1560000000000.0
2022,8,2,"97,0",12952000000000.0,22167000000000.0,28680000000000.0,900000000000.0
2022,8,3,"94,2",11297000000000.0,22145000000000.0,27300000000000.0,1680000000000.0
2022,8,4,"100,0",9280000000000.0,21316000000000.0,27840000000000.0,0.0
2022,8,5,"94,5",9129000000000.0,18519000000000.0,25560000000000.0,1500000000000.0
2022,8,6,"96,3",9360000000000.0,25212000000000.0,32760000000000.0,1260000000000.0
2022,8,7,"100,0",10160000000000.0,22018000000000.0,30480000000000.0,0.0
2022,8,8,"100,0",10986000000000.0,21346000000000.0,28380000000000.0,0.0
2022,8,9,"90,4",12194000000000.0,22134000000000.0,28140000000000.0,3000000000000.0
2022,8,10,"89,8",8168000000000.0,18468000000000.0,29040000000000.0,3300000000000.0
2022,8,11,"95,6",11222000000000.0,19947000000000.0,27120000000000.0,1260000000000.0
2022,8,12,"98,5",13033000000000.0,23735000000000.0,30720000000000.0,480000000000.0
2022,8,13,"94,9",15485000000000.0,25596000000000.0,30060000000000.0,1620000000000.0
2022,8,14,"86,2",17078000000000.0,24143000000000.0,30360000000000.0,4860000000000.0
2022,8,15,"82,2",5400000000000.0,12349000000000.0,18900000000000.0,4080000000000.0
2022,8,16,"95,0",11756000000000.0,18605000000000.0,25320000000000.0,1320000000000.0
2022,8,17,"82,9",9829000000000.0,18765000000000.0,25020000000000.0,5160000000000.0
2022,8,18,"87,8",12211000000000.0,21394000000000.0,27240000000000.0,3780000000000.0
2022,8,19,"95,1",11895000000000.0,19469000000000.0,25620000000000.0,1320000000000.0
2022,8,20,"100,0",13250000000000.0,22626000000000.0,29340000000000.0,0.0
2022,8,21,"83,7",12649000000000.0,23768000000000.0,30720000000000.0,6000000000000.0
2022,8,22,"95,2",8259000000000.0,20698000000000.0,31200000000000.0,1560000000000.0
2022,8,23,"99,1",10074000000000.0,24480000000000.0,34800000000000.0,300000000000.0
2022,8,24,"91,0",9822000000000.0,22515000000000.0,30360000000000.0,3000000000000.0
2022,8,25,"97,1",9985000000000.0,21008000000000.0,28140000000000.0,840000000000.0
2022,8,26,"94,2",6992000000000.0,17917000000000.0,26220000000000.0,1620000000000.0
2022,8,27,"96,1",7984000000000.0,17990000000000.0,24840000000000.0,1020000000000.0
2022,8,28,"100,0",6440000000000.0,13856000000000.0,19320000000000.0,0.0
2022,8,29,"100,0",9135000000000.0,18719000000000.0,28320000000000.0,0.0
2022,8,30,"94,4",10582000000000.0,20395000000000.0,29100000000000.0,1740000000000.0
2022,8,31,"100,0",10032000000000.0,21351000000000.0,27360000000000.0,0.0
2022,9,1,"100,0",11913000000000.0,22933000000000.0,30240000000000.0,0.0
2022,9,2,"92,6",14207000000000.0,21924000000000.0,27540000000000.0,1920000000000.0
2022,9,3,"97,0",8931000000000.0,21886000000000.0,31260000000000.0,960000000000.0
2022,9,4,"97,5",11084000000000.0,21627000000000.0,30480000000000.0,780000000000.0
2022,9,5,"91,2",8235000000000.0,21313000000000.0,29280000000000.0,2820000000000.0
2022,9,6,"93,8",10061000000000.0,23022000000000.0,33840000000000.0,2220000000000.0
2022,9,7,"96,2",9941000000000.0,21710000000000.0,28920000000000.0,1140000000000.0
2022,9,8,"98,4",8466000000000.0,20160000000000.0,26340000000000.0,420000000000.0
2022,9,9,"92,0",8718000000000.0,18254000000000.0,29640000000000.0,2580000000000.0
2022,9,10,"89,3",4468000000000.0,17047000000000.0,25020000000000.0,3000000000000.0
2022,9,11,"89,2",11495000000000.0,18713000000000.0,27780000000000.0,3360000000000.0
2022,9,12,"98,2",7266000000000.0,18986000000000.0,26340000000000.0,480000000000.0
2022,9,13,"91,8",11700000000000.0,17544000000000.0,23400000000000.0,2100000000000.0
2022,9,14,"92,0",8772000000000.0,17336000000000.0,25440000000000.0,2220000000000.0
2022,9,16,"92,2",13331000000000.0,22083000000000.0,28440000000000.0,2400000000000.0
2022,9,17,"91,5",5268000000000.0,16680000000000.0,26340000000000.0,2460000000000.0
2022,9,18,"100,0",10277000000000.0,19872000000000.0,26160000000000.0,0.0
2022,9,19,"100,0",9150000000000.0,20628000000000.0,29280000000000.0,0.0
2022,9,20,"96,7",6401000000000.0,17361000000000.0,26520000000000.0,900000000000.0
2022,9,21,"100,0",10701000000000.0,20441000000000.0,25860000000000.0,0.0
2022,9,22,"100,0",9854000000000.0,19769000000000.0,25980000000000.0,0.0
2022,9,23,"100,0",5458000000000.0,21303000000000.0,28200000000000.0,0.0
2022,9,24,"92,4",10065000000000.0,20754000000000.0,29280000000000.0,2400000000000.0
2022,9,25,"91,3",10291000000000.0,19531000000000.0,25260000000000.0,2400000000000.0
2022,9,26,"89,4",11448000000000.0,23193000000000.0,29940000000000.0,3540000000000.0
2022,9,27,"100,0",9822000000000.0,20034000000000.0,30360000000000.0,0.0
2022,9,28,"89,1",8540000000000.0,18864000000000.0,25620000000000.0,3120000000000.0
2022,9,29,"89,9",14617000000000.0,23274000000000.0,28320000000000.0,3180000000000.0
2022,9,30,"93,2",9290000000000.0,20698000000000.0,28800000000000.0,2100000000000.0
2022,10,1,"94,5",8083000000000.0,20638000000000.0,28740000000000.0,1680000000000.0
2022,10,2,"92,6",12090000000000.0,20190000000000.0,27900000000000.0,2220000000000.0
2022,10,3,"91,5",9860000000000.0,20630000000000.0,29580000000000.0,2760000000000.0
2022,10,4,"94,7",11172000000000.0,20214000000000.0,28860000000000.0,1620000000000.0
2022,10,5,"95,0",8788000000000.0,19696000000000.0,29880000000000.0,1560000000000.0
2022,10,6,"98,3",9080000000000.0,19458000000000.0,27240000000000.0,480000000000.0
2022,10,7,"97,0",11769000000000.0,21867000000000.0,30780000000000.0,960000000000.0
2022,10,8,"88,4",7812000000000.0,17361000000000.0,26040000000000.0,3420000000000.0
2022,10,9,"96,7",10800000000000.0,18403000000000.0,24300000000000.0,840000000000.0
2022,10,10,"100,0",12804000000000.0,22663000000000.0,30180000000000.0,0.0
2022,10,11,"92,5",9687000000000.0,17922000000000.0,27300000000000.0,2220000000000.0
2022,10,12,"94,1",12312000000000.0,22518000000000.0,30780000000000.0,1920000000000.0
2022,10,13,"98,2",11241000000000.0,22482000000000.0,29040000000000.0,540000000000.0
2022,10,14,"94,3",11443000000000.0,18492000000000.0,26700000000000.0,1620000000000.0
2022,10,15,"94,7",8952000000000.0,15813000000000.0,22380000000000.0,1260000000000.0
2022,10,16,"90,2",5494000000000.0,15306000000000.0,21060000000000.0,2280000000000.0
2022,10,17,"97,9",7217000000000.0,16559000000000.0,25260000000000.0,540000000000.0
2022,10,18,"90,5",10980000000000.0,20050000000000.0,29280000000000.0,3060000000000.0
2022,10,19,"95,5",9131000000000.0,19396000000000.0,29220000000000.0,1380000000000.0
2022,10,20,"89,7",10822000000000.0,22374000000000.0,29760000000000.0,3420000000000.0
2022,10,21,"88,0",7951000000000.0,16726000000000.0,25620000000000.0,3480000000000.0
2022,10,22,"99,3",8331000000000.0,18092000000000.0,25920000000000.0,180000000000.0
2022,10,23,"86,4",10717000000000.0,18060000000000.0,23220000000000.0,3660000000000.0
2022,10,24,"100,0",10059000000000.0,16931000000000.0,26520000000000.0,0.0
2022,10,25,"92,4",10258000000000.0,22453000000000.0,32640000000000.0,2700000000000.0
2022,10,26,"89,4",13654000000000.0,23252000000000.0,31860000000000.0,3780000000000.0
2022,10,27,"93,7",11913000000000.0,22358000000000.0,30240000000000.0,2040000000000.0
2022,10,28,"97,5",10684000000000.0,20393000000000.0,27600000000000.0,720000000000.0
2022,10,29,"93,1",8028000000000.0,18640000000000.0,26760000000000.0,1980000000000.0
2022,10,30,"95,3",7629000000000.0,19021000000000.0,26700000000000.0,1320000000000.0
2022,10,31,"96,2",9708000000000.0,18295000000000.0,27360000000000.0,1080000000000.0
2022,11,1,"90,4",11723000000000.0,21991000000000.0,30660000000000.0,3240000000000.0
2022,11,2,"95,8",3600000000000.0,17077000000000.0,23400000000000.0,1020000000000.0
2022,11,3,"98,1",11882000000000.0,21348000000000.0,27420000000000.0,540000000000.0
2022,11,4,"95,8",5533000000000.0,18025000000000.0,24900000000000.0,1080000000000.0
2022,11,5,"100,0",10779000000000.0,21475000000000.0,30540000000000.0,0.0
2022,11,6,"100,0",7238000000000.0,15776000000000.0,22620000000000.0,0.0
2022,11,7,"95,3",14169000000000.0,24829000000000.0,33060000000000.0,1620000000000.0
2022,11,8,"100,0",11224000000000.0,22871000000000.0,31800000000000.0,0.0
2022,11,9,"95,1",8345000000000.0,21937000000000.0,30600000000000.0,1560000000000.0
2022,11,10,"92,2",12465000000000.0,21065000000000.0,27600000000000.0,2340000000000.0
2022,11,11,"98,1",10292000000000.0,23940000000000.0,34620000000000.0,660000000000.0
2022,11,12,"98,2",7371000000000.0,19161000000000.0,25800000000000.0,480000000000.0
2022,11,13,"100,0",10822000000000.0,18824000000000.0,28860000000000.0,0.0
2022,11,14,"96,9",9920000000000.0,20260000000000.0,29760000000000.0,960000000000.0
2022,11,15,"77,8",9998000000000.0,18851000000000.0,24540000000000.0,7020000000000.0
2022,11,16,"94,2",3754000000000.0,16648000000000.0,23460000000000.0,1440000000000.0
2022,11,17,"89,7",11811000000000.0,22296000000000.0,31800000000000.0,3660000000000.0
2022,11,18,"100,0",8978000000000.0,16594000000000.0,24240000000000.0,0.0
2022,11,19,"91,4",11784000000000.0,21146000000000.0,25380000000000.0,2400000000000.0
2022,11,20,"94,8",8768000000000.0,19067000000000.0,27180000000000.0,1500000000000.0
2022,11,21,"92,2",9941000000000.0,20433000000000.0,28920000000000.0,2460000000000.0
2022,11,22,"94,4",11118000000000.0,22199000000000.0,31500000000000.0,1860000000000.0
2022,11,23,"86,0",10745000000000.0,17118000000000.0,23280000000000.0,3780000000000.0
2022,11,24,"97,2",8505000000000.0,17350000000000.0,22680000000000.0,660000000000.0
2022,11,25,"90,1",13151000000000.0,23978000000000.0,30060000000000.0,3300000000000.0
2022,11,26,"98,6",10322000000000.0,21878000000000.0,27870000000000.0,390000000000.0
2022,11,27,"100,8",11793000000000.0,23670000000000.0,32430000000000.0,270000000000.0
2022,11,28,"99,1",11160000000000.0,20017000000000.0,27900000000000.0,240000000000.0
2022,11,29,"103,2",11007000000000.0,20976000000000.0,31020000000000.0,960000000000.0
2022,11,30,"98,7",13897000000000.0,22334000000000.0,31500000000000.0,420000000000.0
2022,12,1,"93,0",9677000000000.0,19364000000000.0,29910000000000.0,2250000000000.0
2022,12,2,"91,7",10725000000000.0,20331000000000.0,31200000000000.0,2820000000000.0
2022,12,3,"94,6",8865000000000.0,19615000000000.0,27480000000000.0,1560000000000.0
2022,12,4,"99,0",10836000000000.0,17666000000000.0,27090000000000.0,270000000000.0
2022,12,5,"97,8",11995000000000.0,21737000000000.0,30450000000000.0,690000000000.0
2022,12,6,"101,0",9418000000000.0,18292000000000.0,26370000000000.0,270000000000.0
2022,12,7,"100,7",9455000000000.0,17315000000000.0,27420000000000.0,180000000000.0
2022,12,8,"99,2",8100000000000.0,22693000000000.0,30600000000000.0,240000000000.0
2022,12,9,"94,7",7208000000000.0,18324000000000.0,26130000000000.0,1470000000000.0
2022,12,10,"99,1",8353000000000.0,19145000000000.0,28770000000000.0,270000000000.0
2022,12,11,"96,4",9911000000000.0,20174000000000.0,27930000000000.0,1050000000000.0
2022,12,12,"99,2",13006000000000.0,20811000000000.0,28800000000000.0,240000000000.0
2022,12,13,"96,8",10340000000000.0,21527000000000.0,31020000000000.0,1020000000000.0
2022,12,14,"97,2",12632000000000.0,23392000000000.0,34980000000000.0,1020000000000.0
2022,12,15,"94,8",10041000000000.0,21948000000000.0,32130000000000.0,1770000000000.0
2022,12,16,"96,3",8353000000000.0,19691000000000.0,28770000000000.0,1110000000000.0
2022,12,17,"97,2",4969000000000.0,19701000000000.0,31800000000000.0,900000000000.0
2022,12,18,"98,4",7539000000000.0,16499000000000.0,27330000000000.0,450000000000.0
2022,12,19,"93,0",16189000000000.0,25226000000000.0,33330000000000.0,2490000000000.0
2022,12,20,"95,9",13408000000000.0,24915000000000.0,34860000000000.0,1500000000000.0
2022,12,21,"94,6",8190000000000.0,20412000000000.0,27300000000000.0,1560000000000.0
2022,12,22,"93,2",7432000000000.0,19653000000000.0,26940000000000.0,1980000000000.0
2022,12,23,"95,3",12038000000000.0,19707000000000.0,27780000000000.0,1380000000000.0
2022,12,24,"97,2",11844000000000.0,19807000000000.0,24600000000000.0,720000000000.0
2022,12,25,"93,8",11464000000000.0,18964000000000.0,29100000000000.0,1920000000000.0
2022,12,26,"94,8",11640000000000.0,23773000000000.0,34920000000000.0,1920000000000.0
2022,12,27,"95,9",10002000000000.0,16767000000000.0,23640000000000.0,1020000000000.0
2022,12,28,"90,2",10514000000000.0,22958000000000.0,27720000000000.0,3000000000000.0
2022,12,29,"95,9",13109000000000.0,23403000000000.0,30900000000000.0,1320000000000.0
2022,12,30,"98,0",10974000000000.0,21394000000000.0,28350000000000.0,570000000000.0
2022,12,31,"87,3",7478000000000.0,21122000000000.0,29910000000000.0,4350000000000.0
2023,1,1,"97,3",7096000000000.0,18770000000000.0,26610000000000.0,750000000000.0
2023,1,2,"98,0",15329000000000.0,23444000000000.0,31560000000000.0,660000000000.0
2023,1,3,"97,0",12944000000000.0,23770000000000.0,30510000000000.0,930000000000.0
2023,1,4,"99,2",13575000000000.0,23357000000000.0,30060000000000.0,240000000000.0
