Date;Week;sets:;excercise;set 1;set 2;set 3;set 4;rest (min);comments;Starta Workout p klockan!;;;
;;3;Band pullover;20;17;16;;0;lila;;;;
;;3;neck extension;16;16;15;;2;s+r;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2022-11-30;49;4;Squats;1 x 100 kg;5 x 90;5 x 85;5 x 85;4;;;;;
;;3;Overhead press;6 x 45 kg;5 x 45;6 x 42.5;;3;;;;;
;;3;Band pullover;22;18;16;;0;lila;;;;
;;3;delt rows;18;14;14;;0;;;;;
;;3;neck extension;22;16;16;;2;s+r;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2022-12-08;50;4;Squats (Top);3 x 80;2 x 90;2 x 95;2 x 100kg;4;;;;;
;;3;Squats (Back-off);6 x 85;5 x 85;5 x 80;;4;;;;;
;;3;Overhead press;6 x 45kg;5 x 45;6 x 42.5;;3;;;;;
;;3;Band pullover;24;18;16;;0;lila;;;;
;;3;delt rows;18;12;12;;0;;;;;
;;3;neck extension;20;16;16;;2;s+r;;;;
;;19;;;;;;;;;;;
2022-12-17;51;4;Squats;2 x 90kg;1 x 100;1 x 105;1 x 110;4;;;;;
;;3;Squats;3 x 82.5 kg;5 x 82.5;6 x 80;;4;set1 fail;;;;
;;3;Overhead press;5 x 47.5kg;5 x 45;5 x 45;;3;;;;;
;;3;Band pullover;24;18;16;;0;lila;;;;
;;3;delt rows;18;15;13;;0;;;;;
;;3;neck extension;20;17;16;;2;s+r;;;;
;;19;;;;;;;;;;;
2022-12-25;52;4;Squats;10 x 20kg;5 x 50;4 x 70;5 x 90;3;lite ont v kn;;;;
;;3;Squats;5 x 85kg;5 x 85;6 x 80;;4;;;;;
;;3;Overhead press;4 x 50kg;5 x 45;6 x 40;;3;;;;;
;;3;Cable pullover;16 x 25kg;11 x 25;11 x 25;;0;;;;;
;;3;delt rows;18;16;13;;0;;;;;
;;3;neck extension;20;18;17;;2;s+r;;;;
;;19;;;;;;;;;;;
2023-01-06;2;4;Squats;8 x 20kg;4 x 60;2 x 90;1 x 105;3;;;;;
;;3;Squats;1 x 112.5 kg;5 x 82.5;5 x 82.5;;3;;;;;
;;3;Overhead press;4 x 50kg;5 x 45;6 x 42.5;;3;;;;;
;;3;delt rows;13;13;12;;0;ftter uppe;;;;
;;3;Cable pullover;16 x 25kg;12 x 25;11 x 25;;0;;;;;
;;3;neck extension;20;18;18;;2;s+r;;;;
;;19;;;;;;;;;;;
2023-01-16;4;4;Wide Pause Squats;5 x 70kg;5 x 70;6? x 65;5 x 65;4;utan blte;;;;
;;3;Overhead press;4 x 50kg;6 x 45;5 x 45;;3;;;;;
;;3;delt rows;15;13;12;;0;;;;;
;;3;neck extension;12 x 10kg;12 x 10;11 x 10;;0;;;;;
;;3;Cable pullover;16 x 25kg;14 x 25;14 x 25;;3;;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2023-01-26;5;4;Wide Pause Squats;4 x 50kg;3 x 70;1 x 90;1 x 100;3,5;blte;;;;
;;3;Wide Pause Squats;5 x 70kg;5 x 70;5 x 70;;3;;;;;
;;3;Overhead press;5 x 50kg;6 x 45;5 x 45;;3;;;;;
;;3;delt rows;15;14;11;;0;;;;;
;;3;neck extension;10 x 10kg;9 x 10kg;26 x 5kg;;0;;;;;
;;3;Cable pullover;18 x 25kg;14 x 25;14 x 25;;3;s+r;;;;
;;19;;;;;;;;;;;
2023-02-03;6;4;SSB Squats;8 x 22kg;5 x 52;4 x 62;4 x 72;3;kudde gled;;;;
;;3;SSB Squats;5 x 62;5 x 62;5 x 62;;3;;;;;
;;3;Overhead press;4 x 50kg;5 x 45;5 x 45;;3;;;;;
;;3;Leg curls;10;9;8;;0;ringar + kedja;;;;
;;3;delt rows;16;15;13;;2;;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2023-02-11;7;4;SSB Squats;4 x 52kg;2 x 72;1 x 87;1 x 92;3;svag brstrygg;;;;
;;3;SSB Squats;6 x 67;5 x 67;5 x 67;;3;;;;;
;;3;Overhead press;4 x 50kg;5 x 45;5 x 45;;3;;;;;
;;3;single leg curls;8;6;10 (bda ben);;0;rtt band, blte;;;;
;;3;delt rows;15;15;14;;2;;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2023-02-19;8;4;SSB Squats;8 x 22kg;4 x 52;2 x 72;5 x 72;3;blte;;;;
;;3;SSB Squats;6 x 67;5 x 67;5 x 67;;3;;;;;
;;3;Overhead press;5 x 50kg;5 x 45;5 x 45;;3;;;;;
;;3;Leg curls;11;9;9 + finisher;;0;blte + kedja;;;;
;;3;delt rows;17;14;12;;2;;;;;
;;3;;;;;;;s+r;;;;
;;19;;;;;;;;;;;
2023-02-27;10;4;SSB Squats;8 x 22kg;5 x 52;3 x 62;5 x 72;3;blte;;;;
;;3;SSB Squats;7 x 62;6 x 62;6 x 62;;3;;;;;
;;3;Overhead press;3 x 50;7 x 40;6 x 40;;3;;;;;
;;3;Leg curls;;;;;0;;;;;
;;3;delt rows;;;;;2;;;;;
;;3;;;;;;;s+r;;;;
;;19;;;;;;;;;;;
2023-03-07;11;4;Wide Pause Squats;;;;;3;blte;;;;
;;3;Wide Pause Squats;;;;;3;;;;;
;;3;Overhead press;;;;;3;;;;;
;;3;Leg curls;;;;;0;;;;;
;;3;delt rows;;;;;2;;;;;
;;3;;;;;;;s+r;;;;
;;19;;;;;;;;;;;
Date;Week;sets:;excercise;set 1;set 2;set 3;set 4;rest (min);comments;Starta Workout p klockan!;;;
2022-11-05;45;4;Weighted pull ups;6 x 15kg;5 x 15;6 x 10;5 x 10;3;ringar;;;;
;;3;Incline DB press;8 x 27kg;7 x 27;5 x 27;;3;;;;;
;;3;inverted rows;11 x 15kg;12 x 10;9 x 10;;0;weighted;;;;
;;3;reverse nordics;12 x rd;12;11;;2;;;;;
;;3;neck flexion;22;18;18;;0;s+r;;;;
;;3;neck extension;20;13;12;;2;s+r;;;;
;;19;;;;;;;;;;;
2022-11-13;46;4;Weighted pull ups;6 x 15kg;5 x 15;6 x 10;5 x 10;3;ringar;;;;
;;3;Incline press;5 x 65kg;6 x 60;6 x 60;;3;;;;;
;;3;inverted rows;11 x 15kg;10 x 15;11 x 10;;0;weighted;;;;
;;3;reverse nordics;14;12;11;;0;rtt band;;;;
;;3;neck flexion;20;20;20;;3;s+r;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2022-11-22;48;4;Weighted pull ups;6 x 15kg;5 x 15;6 x 10;6 x 10;3;ringar;;;;
;;3;Incline press;6 x 65kg;5 x 65;6 x 60;;3;;;;;
;;3;inverted rows;10 x 15 kg;10 x 15;11 x 10;;0;weighted;;;;
;;3;reverse nordics;7 x r + 5;12 x bw;11;;0;;;;;
;;3;neck flexion;22;20;20;;3;s+r;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2022-12-02;49;4;Weighted pull ups;6 x 15kg;5 x 15;5 x 15;6 x 10;3;ringar;;;;
;;3;Incline press;4 x 70kg;5 x 65;7 x 60;;3;;;;;
;;3;inverted rows;12 x 15 kg;11 x 15;11 x 10;;0;weighted;;;;
;;3;reverse nordics;13 x bw;11;10;;0;;;;;
;;3;neck flexion;24;22;22;;3;s + r;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2022-12-10;50;4;Weighted pull ups;4 x 20kg;5 x 15;6 x 10;5 x 10;3;ringar;;;;
;;3;Incline press;5 x 65kg;7 x 60;6 x 60;;3;utan kudde;;;;
;;3;inverted rows;12 x 15kg;11 x 15;11 x 10;;0;weighted;;;;
;;3;reverse nordics;14;10;10;;0;;;;;
;;3;neck flexion;24;22;20;;3;s+r;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2022-12-20;52;4;Weighted pull ups;4 x 20kg;5 x 15;6 x 10;5 x 10;3;ringar;;;;
;;3;Incline press;7 x 60kg;6 x 60;7 x 55;;3;dynamic effort;;;;
;;3;inverted rows;13 x 15kg;11 x 15;12 x 10;;0;weighted;;;;
;;3;reverse nordics;14;10;10;;0;;;;;
;;3;neck flexion;26;22;22;;3;s+r;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2022-12-29;53;4;Weighted pull ups;5 x bw;4 x 10;2 x 20;1 x 25 kg;3;stng;;;;
;;3;Weighted pull ups;5 x bw;5;5;;3;;;;;
;;3;Incline press;6 x 60kg;5 x 60;6 x 55;;3;dynamic effort, rpe 7-8;;;;
;;3;inverted rows; 10 x incline;13 x  bnk;13;;0;rack;;;;
;;3;reverse nordics;15;15;15;;0;dynamic effort;;;;
;;3;neck flexion;26;24;24;;3;s+r;;;;
;;19;;;;;;;taket lossna;;;;
2023-01-06;2;4;Weighted pull ups;5 x bw;3 x 10;2 x 20;1 x 25 kg;3;ringar + r;;;;
;;3;Weighted pull ups;1 x 27.5kg;5 x 10;6 x bw;;3;ringar + r;;;;
;;3;Incline press close grip;8 x 60kg;6 x 60;5 x 60;;3;rpe 9ish;;;;
;;3;inverted rows;8 x 20kg;10 x 15;10 x 10;;0;;;;;
;;3;sissy squats;10;8;8;;0;;;;;
;;3;neck flexion;28;24;22;;3;s+r;;;;
;;19;;;;;;;;;;;
2023-01-18;4;4;Weighted pull ups;5 x bw;3 x 10;1 x 20;1 x 27.5kg;3;ringar + r;;;;
;;3;Weighted pull ups;5 x 10kg;5 x 5;5 x bw;;3;ringar + r;;;;
;;3;Incline press close grip;6 x 65kg;5 x 60;5 x 60;;3;rpe 9ish;;;;
;;3;inverted rows;8 x 20kg;10 x 15;10 x 10;;0;;;;;
;;3;sissy squats;11;10;10;;0;;;;;
;;3;neck flexion;11 x 10kg;26 x r+s;22 x hnder ;;3;lite quesy;;;;
;;19;;;;;;;;;;;
2023-01-26;5;4;one arm pull down;9 x 30kg;9 x 30kg;9 x 30kg;8 x 30;3;cable;;;;
;;3;;;;;;;;;;;
;;3;Incline press wide grip;6 x 60kg;5 x 60;6 x 60;;3;;;;;
;;3;Inverted rows;9 x 15 kg;9 x 15 kg;8 x 10;;0;;;;;
;;3;Sissy squats;12;12;11;;3;;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;ont i v axel;;;;
2023-02-03;6;4;Weighted pull ups;3 x 10kg;1 x 15;1 x 20;1 x 25;3;stng;;;;
;;3;BW pull ups;8;6;6;;3;75%;;;;
;;3;Incline press wide grip;5 x 65kg;5 x 60;6 x 60;;3;;;;;
;;3;pendulum Sissy squats;10;10;10;;0;;;;;
;;3;inverted rows;9 x 15 kg;9 x 15;8 x 10;;3;;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2023-02-11;7;4;Weighted chin ups;5 x bw;3 x 10;2 x 20;2 x 25kg;3;;;;;
;;3;chin ups;9 x bw;8 x bw;8 x bw;;3;;;;;
;;3;Incline press mid grip;5 x 65kg;6 x 60;5 x 60;;3;utan legdrive;;;;
;;3;pendulum Sissy squats;10;10;12;;0;incline hjd;;;;
;;3;inverted rows;10 x 15 kg;9 x 15;8 x 15;;2;;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2023-02-19;8;4;Weighted chin ups;5 x bw;3 x 10;2 x 20;1 x 27.5kg;3;;;;;
;;3;chin ups;9 x bw;8 x bw;7.5 x bw;;3;;;;;
;;3;Incline press mid grip;5 x 65kg;6 x 60;5 x 60;;3;utan legdrive;;;;
;;3;pendulum Sissy squats;16;14;12;;0;incline hjd, ggla 2;;;;
;;3;inverted rows;10 x 15 kg;9 x 15;10 x 10;;2;;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2023-02-27;10;4;Weighted chin ups;;;;;3;;;;;
;;3;chin ups;;;;;3;;;;;
;;3;Incline press mid grip;;;;;3;utan legdrive;;;;
;;3;pendulum Sissy squats;;;;;0;incline hjd;;;;
;;3;inverted rows;;;;;2;;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2023-03-07;11;4;Weighted chin ups;;;;;3;;;;;
;;3;chin ups;;;;;3;;;;;
;;3;Incline press mid grip;;;;;3;utan legdrive;;;;
;;3;pendulum Sissy squats;;;;;0;incline hjd;;;;
;;3;inverted rows;;;;;2;;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2023-03-15;12;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2023-03-23;13;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2023-03-31;14;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2023-04-08;15;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2023-04-16;16;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2023-04-24;18;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2023-05-02;19;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2023-05-10;20;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2023-05-18;21;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
