exercise,set #,reps,weight,bodyweight,date
romanian deadlifts,1,11.0,95.0,77.02666666666666,2022-02-01
romanian deadlifts,2,10.0,95.0,77.02666666666666,2022-02-01
romanian deadlifts,3,10.0,95.0,77.02666666666666,2022-02-01
reverse nordics,1,12.0,0.0,77.02666666666666,2022-02-01
reverse nordics,2,12.0,0.0,77.02666666666666,2022-02-01
reverse nordics,3,11.0,0.0,77.02666666666666,2022-02-01
hamstring curls,1,10.0,5.0,77.02666666666666,2022-02-01
hamstring curls,2,8.0,5.0,77.02666666666666,2022-02-01
hamstring curls,3,8.0,5.0,77.02666666666666,2022-02-01
barbell curls,1,10.0,40.0,76.66499999999999,2022-02-03
barbell curls,2,9.0,40.0,76.66499999999999,2022-02-03
barbell curls,3,7.0,40.0,76.66499999999999,2022-02-03
decline push ups,1,7.0,0.0,76.66499999999999,2022-02-03
decline push ups,2,7.0,0.0,76.66499999999999,2022-02-03
decline push ups,3,6.0,0.0,76.66499999999999,2022-02-03
decline push ups,4,5.0,0.0,76.66499999999999,2022-02-03
side lateral,1,15.0,0.0,76.66499999999999,2022-02-03
side lateral,2,14.0,0.0,76.66499999999999,2022-02-03
side lateral,3,9.0,0.0,76.66499999999999,2022-02-03
straight arm pulldown,1,16.0,20.0,76.66499999999999,2022-02-03
straight arm pulldown,2,13.0,20.0,76.66499999999999,2022-02-03
straight arm pulldown,3,10.0,20.0,76.66499999999999,2022-02-03
push ups,1,5.0,20.0,76.66499999999999,2022-02-03
push ups,2,5.0,17.5,76.66499999999999,2022-02-03
push ups,3,5.0,15.0,76.66499999999999,2022-02-03
push ups,4,5.0,12.5,76.66499999999999,2022-02-03
wide grip rows,1,12.0,50.0,76.66499999999999,2022-02-03
wide grip rows,2,12.0,50.0,76.66499999999999,2022-02-03
wide grip rows,3,10.0,50.0,76.66499999999999,2022-02-03
atg split squats,1,12.0,20.0,77.46000000000001,2022-02-06
atg split squats,2,10.0,20.0,77.46000000000001,2022-02-06
atg split squats,3,9.0,20.0,77.46000000000001,2022-02-06
hamstring curls,1,10.0,5.0,77.46000000000001,2022-02-06
hamstring curls,2,9.0,5.0,77.46000000000001,2022-02-06
hamstring curls,3,7.0,5.0,77.46000000000001,2022-02-06
sissy squats,1,8.0,0.0,77.46000000000001,2022-02-06
sissy squats,2,7.0,0.0,77.46000000000001,2022-02-06
sissy squats,3,7.0,0.0,77.46000000000001,2022-02-06
sumo dl,1,5.0,110.0,77.46000000000001,2022-02-06
sumo dl,2,5.0,110.0,77.46000000000001,2022-02-06
sumo dl,3,5.0,110.0,77.46000000000001,2022-02-06
sumo dl,4,5.0,110.0,77.46000000000001,2022-02-06
db shoulder press,1,6.0,22.0,77.715,2022-02-07
db shoulder press,2,5.0,22.0,77.715,2022-02-07
db shoulder press,3,6.0,19.5,77.715,2022-02-07
db shoulder press,4,5.0,19.5,77.715,2022-02-07
decline press,1,12.0,0.0,77.715,2022-02-07
decline press,2,10.0,0.0,77.715,2022-02-07
decline press,3,8.0,0.0,77.715,2022-02-07
inverted rows,1,13.0,0.0,77.715,2022-02-07
inverted rows,2,13.0,0.0,77.715,2022-02-07
inverted rows,3,12.0,0.0,77.715,2022-02-07
lat pulldown,1,10.0,60.0,77.715,2022-02-07
lat pulldown,2,8.0,60.0,77.715,2022-02-07
lat pulldown,3,8.0,55.0,77.715,2022-02-07
chin ups,1,6.0,16.25,77.715,2022-02-07
chin ups,2,5.0,16.25,77.715,2022-02-07
chin ups,3,5.0,13.75,77.715,2022-02-07
chin ups,4,5.0,12.5,77.715,2022-02-07
barbell hacksquat,1,5.0,112.5,77.525,2022-02-09
barbell hacksquat,2,5.0,112.5,77.525,2022-02-09
barbell hacksquat,3,5.0,110.0,77.525,2022-02-09
barbell hacksquat,4,5.0,110.0,77.525,2022-02-09
romanian deadlifts,1,12.0,95.0,77.525,2022-02-09
romanian deadlifts,2,11.0,95.0,77.525,2022-02-09
romanian deadlifts,3,10.0,95.0,77.525,2022-02-09
reverse nordics,1,13.0,5.0,77.525,2022-02-09
reverse nordics,2,12.0,0.0,77.525,2022-02-09
reverse nordics,3,11.0,0.0,77.525,2022-02-09
hamstring curls,1,10.0,5.0,77.525,2022-02-09
hamstring curls,2,9.0,5.0,77.525,2022-02-09
hamstring curls,3,9.0,5.0,77.525,2022-02-09
barbell curls,1,8.0,42.5,77.21000000000001,2022-02-13
barbell curls,2,6.0,42.5,77.21000000000001,2022-02-13
barbell curls,3,5.0,42.5,77.21000000000001,2022-02-13
decline push ups,1,9.0,0.0,77.21000000000001,2022-02-13
decline push ups,2,6.0,0.0,77.21000000000001,2022-02-13
decline push ups,3,6.0,0.0,77.21000000000001,2022-02-13
decline push ups,4,5.0,0.0,77.21000000000001,2022-02-13
side lateral,1,16.0,0.0,77.21000000000001,2022-02-13
side lateral,2,16.0,0.0,77.21000000000001,2022-02-13
side lateral,3,16.0,0.0,77.21000000000001,2022-02-13
straight arm pulldown,1,14.0,20.0,77.21000000000001,2022-02-13
straight arm pulldown,2,12.0,20.0,77.21000000000001,2022-02-13
straight arm pulldown,3,10.0,20.0,77.21000000000001,2022-02-13
push ups,1,4.0,20.0,77.21000000000001,2022-02-13
push ups,2,6.0,15.0,77.21000000000001,2022-02-13
push ups,3,5.0,15.0,77.21000000000001,2022-02-13
push ups,4,6.0,12.5,77.21000000000001,2022-02-13
wide grip rows,1,10.0,55.0,77.21000000000001,2022-02-13
wide grip rows,2,10.0,55.0,77.21000000000001,2022-02-13
wide grip rows,3,8.0,55.0,77.21000000000001,2022-02-13
atg split squats,1,6.0,29.0,77.44999999999999,2022-02-15
atg split squats,2,6.0,29.0,77.44999999999999,2022-02-15
atg split squats,3,5.0,29.0,77.44999999999999,2022-02-15
hamstring curls,1,11.0,5.0,77.44999999999999,2022-02-15
hamstring curls,2,9.0,5.0,77.44999999999999,2022-02-15
hamstring curls,3,9.0,5.0,77.44999999999999,2022-02-15
sissy squats,1,9.0,0.0,77.44999999999999,2022-02-15
sissy squats,2,8.0,0.0,77.44999999999999,2022-02-15
sissy squats,3,8.0,0.0,77.44999999999999,2022-02-15
sumo dl,1,5.0,110.0,77.44999999999999,2022-02-15
sumo dl,2,6.0,105.0,77.44999999999999,2022-02-15
sumo dl,3,6.0,105.0,77.44999999999999,2022-02-15
sumo dl,4,6.0,105.0,77.44999999999999,2022-02-15
db shoulder press,1,6.0,22.0,78.35666666666667,2022-02-18
db shoulder press,2,5.0,22.0,78.35666666666667,2022-02-18
db shoulder press,3,6.0,19.5,78.35666666666667,2022-02-18
db shoulder press,4,5.0,19.5,78.35666666666667,2022-02-18
decline press,1,12.0,0.0,78.35666666666667,2022-02-18
decline press,2,10.0,0.0,78.35666666666667,2022-02-18
decline press,3,9.0,0.0,78.35666666666667,2022-02-18
inverted rows,1,12.0,0.0,78.35666666666667,2022-02-18
inverted rows,2,12.0,0.0,78.35666666666667,2022-02-18
inverted rows,3,12.0,0.0,78.35666666666667,2022-02-18
lat pulldown,1,10.0,60.0,78.35666666666667,2022-02-18
lat pulldown,2,8.0,60.0,78.35666666666667,2022-02-18
lat pulldown,3,10.0,55.0,78.35666666666667,2022-02-18
pull ups,1,5.0,16.25,78.35666666666667,2022-02-18
pull ups,2,5.0,15.0,78.35666666666667,2022-02-18
pull ups,3,5.0,13.75,78.35666666666667,2022-02-18
pull ups,4,5.0,12.5,78.35666666666667,2022-02-18
barbell hacksquat,1,5.0,112.5,77.38,2022-02-20
barbell hacksquat,2,4.0,112.5,77.38,2022-02-20
barbell hacksquat,3,4.0,110.0,77.38,2022-02-20
barbell hacksquat,4,4.0,110.0,77.38,2022-02-20
romanian deadlifts,1,14.0,95.0,77.38,2022-02-20
romanian deadlifts,2,12.0,95.0,77.38,2022-02-20
romanian deadlifts,3,11.0,95.0,77.38,2022-02-20
reverse nordics,1,16.0,0.0,77.38,2022-02-20
reverse nordics,2,12.0,0.0,77.38,2022-02-20
reverse nordics,3,11.0,0.0,77.38,2022-02-20
hamstring curls,1,10.0,5.0,77.38,2022-02-20
hamstring curls,2,9.0,5.0,77.38,2022-02-20
hamstring curls,3,7.0,5.0,77.38,2022-02-20
barbell curls,1,8.0,42.5,78.335,2022-02-22
barbell curls,2,7.0,42.5,78.335,2022-02-22
barbell curls,3,6.0,42.5,78.335,2022-02-22
decline push ups,1,9.0,0.0,78.335,2022-02-22
decline push ups,2,6.0,0.0,78.335,2022-02-22
decline push ups,3,6.0,0.0,78.335,2022-02-22
decline push ups,4,6.0,0.0,78.335,2022-02-22
side lateral,1,18.0,0.0,78.335,2022-02-22
side lateral,2,18.0,0.0,78.335,2022-02-22
side lateral,3,18.0,0.0,78.335,2022-02-22
straight arm pulldown,1,16.0,20.0,78.335,2022-02-22
straight arm pulldown,2,14.0,20.0,78.335,2022-02-22
straight arm pulldown,3,12.0,20.0,78.335,2022-02-22
push ups,1,5.0,20.0,78.335,2022-02-22
push ups,2,5.0,20.0,78.335,2022-02-22
push ups,3,5.0,17.5,78.335,2022-02-22
push ups,4,4.0,15.0,78.335,2022-02-22
wide grip rows,1,12.0,55.0,78.335,2022-02-22
wide grip rows,2,11.0,55.0,78.335,2022-02-22
wide grip rows,3,10.0,55.0,78.335,2022-02-22
atg split squats,1,7.0,29.0,78.34,2022-02-24
atg split squats,2,7.0,29.0,78.34,2022-02-24
atg split squats,3,7.0,29.0,78.34,2022-02-24
hamstring curls,1,12.0,5.0,78.34,2022-02-24
hamstring curls,2,10.0,5.0,78.34,2022-02-24
hamstring curls,3,8.0,5.0,78.34,2022-02-24
sissy squats,1,9.0,0.0,78.34,2022-02-24
sissy squats,2,8.0,0.0,78.34,2022-02-24
sissy squats,3,8.0,0.0,78.34,2022-02-24
sumo dl,1,6.0,110.0,78.34,2022-02-24
sumo dl,2,5.0,110.0,78.34,2022-02-24
sumo dl,3,5.0,110.0,78.34,2022-02-24
sumo dl,4,5.0,110.0,78.34,2022-02-24
db shoulder press,1,6.0,22.0,78.405,2022-02-26
db shoulder press,2,6.0,22.0,78.405,2022-02-26
db shoulder press,3,4.0,22.0,78.405,2022-02-26
db shoulder press,4,6.0,19.5,78.405,2022-02-26
decline press,1,11.0,0.0,78.405,2022-02-26
decline press,2,9.0,0.0,78.405,2022-02-26
decline press,3,8.0,0.0,78.405,2022-02-26
lat pulldown,1,12.0,60.0,78.405,2022-02-26
lat pulldown,2,9.0,60.0,78.405,2022-02-26
lat pulldown,3,8.0,60.0,78.405,2022-02-26
inverted rows,1,11.0,0.0,78.405,2022-02-26
inverted rows,2,11.0,0.0,78.405,2022-02-26
inverted rows,3,9.0,0.0,78.405,2022-02-26
pull ups,1,5.0,16.25,78.405,2022-02-26
pull ups,2,5.0,15.0,78.405,2022-02-26
pull ups,3,4.0,12.5,78.405,2022-02-26
pull ups,4,5.0,10.0,78.405,2022-02-26
barbell hacksquat,1,5.0,110.0,77.08,2022-02-28
barbell hacksquat,2,4.0,110.0,77.08,2022-02-28
barbell hacksquat,3,4.0,105.0,77.08,2022-02-28
barbell hacksquat,4,4.0,105.0,77.08,2022-02-28
romanian deadlifts,1,14.0,95.0,77.08,2022-02-28
romanian deadlifts,2,12.0,95.0,77.08,2022-02-28
romanian deadlifts,3,12.0,95.0,77.08,2022-02-28
reverse nordics,1,14.0,0.0,77.08,2022-02-28
reverse nordics,2,12.0,0.0,77.08,2022-02-28
reverse nordics,3,20.0,0.0,77.08,2022-02-28
hamstring curls,1,11.0,5.0,77.08,2022-02-28
hamstring curls,2,9.0,5.0,77.08,2022-02-28
hamstring curls,3,8.0,5.0,77.08,2022-02-28
barbell curls,1,10.0,42.5,77.955,2022-03-02
barbell curls,2,8.0,42.5,77.955,2022-03-02
barbell curls,3,7.0,42.5,77.955,2022-03-02
decline push ups,1,9.0,0.0,77.955,2022-03-02
decline push ups,2,7.0,0.0,77.955,2022-03-02
decline push ups,3,6.0,0.0,77.955,2022-03-02
decline push ups,4,6.0,0.0,77.955,2022-03-02
ring push ups,1,6.0,5.0,77.955,2022-03-02
ring push ups,2,5.0,5.0,77.955,2022-03-02
ring push ups,3,5.0,5.0,77.955,2022-03-02
ring push ups,4,5.0,0.0,77.955,2022-03-02
side lateral,1,21.0,0.0,77.955,2022-03-02
side lateral,2,21.0,0.0,77.955,2022-03-02
side lateral,3,20.0,0.0,77.955,2022-03-02
straight arm pulldown,1,16.0,20.0,77.955,2022-03-02
straight arm pulldown,2,14.0,20.0,77.955,2022-03-02
straight arm pulldown,3,12.0,20.0,77.955,2022-03-02
wide grip rows,1,12.0,55.0,77.955,2022-03-02
wide grip rows,2,11.0,55.0,77.955,2022-03-02
wide grip rows,3,10.0,55.0,77.955,2022-03-02
atg split squats,1,5.0,34.0,78.79333333333334,2022-03-04
atg split squats,2,7.0,29.0,78.79333333333334,2022-03-04
atg split squats,3,7.0,29.0,78.79333333333334,2022-03-04
sumo dl,1,5.0,112.5,78.79333333333334,2022-03-04
sumo dl,2,5.0,112.5,78.79333333333334,2022-03-04
sumo dl,3,5.0,112.5,78.79333333333334,2022-03-04
sumo dl,4,5.0,110.0,78.79333333333334,2022-03-04
db shoulder press,1,6.0,22.0,79.575,2022-03-06
db shoulder press,2,5.0,22.0,79.575,2022-03-06
db shoulder press,3,7.0,19.5,79.575,2022-03-06
db shoulder press,4,6.0,19.5,79.575,2022-03-06
decline press,1,11.0,0.0,79.575,2022-03-06
decline press,2,10.0,0.0,79.575,2022-03-06
decline press,3,8.0,0.0,79.575,2022-03-06
lat pulldown,1,10.0,65.0,79.575,2022-03-06
lat pulldown,2,8.0,65.0,79.575,2022-03-06
lat pulldown,3,7.0,65.0,79.575,2022-03-06
inverted rows,1,11.0,0.0,79.575,2022-03-06
inverted rows,2,11.0,0.0,79.575,2022-03-06
inverted rows,3,11.0,0.0,79.575,2022-03-06
pull ups,1,5.0,16.25,79.575,2022-03-06
pull ups,2,5.0,13.75,79.575,2022-03-06
pull ups,3,4.0,12.5,79.575,2022-03-06
pull ups,4,5.0,10.0,79.575,2022-03-06
barbell hacksquat,1,5.0,110.0,79.78,2022-03-08
barbell hacksquat,2,5.0,110.0,79.78,2022-03-08
barbell hacksquat,3,5.0,110.0,79.78,2022-03-08
barbell hacksquat,4,5.0,110.0,79.78,2022-03-08
romanian deadlifts,1,12.0,100.0,79.78,2022-03-08
romanian deadlifts,2,11.0,100.0,79.78,2022-03-08
romanian deadlifts,3,11.0,100.0,79.78,2022-03-08
reverse nordics,1,16.0,0.0,79.78,2022-03-08
reverse nordics,2,14.0,0.0,79.78,2022-03-08
reverse nordics,3,12.0,0.0,79.78,2022-03-08
hamstring curls,1,11.0,5.0,79.78,2022-03-08
hamstring curls,2,9.0,5.0,79.78,2022-03-08
hamstring curls,3,8.0,5.0,79.78,2022-03-08
barbell curls,1,9.0,45.0,80.09,2022-03-10
barbell curls,2,7.0,45.0,80.09,2022-03-10
barbell curls,3,6.0,45.0,80.09,2022-03-10
decline push ups,1,9.0,0.0,80.09,2022-03-10
decline push ups,2,7.0,0.0,80.09,2022-03-10
decline push ups,3,6.0,0.0,80.09,2022-03-10
decline push ups,4,6.0,0.0,80.09,2022-03-10
ring push ups,1,5.0,10.0,80.09,2022-03-10
ring push ups,2,5.0,10.0,80.09,2022-03-10
ring push ups,3,5.0,7.5,80.09,2022-03-10
ring push ups,4,5.0,5.0,80.09,2022-03-10
side lateral,1,20.0,0.0,80.09,2022-03-10
side lateral,2,20.0,0.0,80.09,2022-03-10
side lateral,3,18.0,0.0,80.09,2022-03-10
straight arm pulldown,1,10.0,0.0,80.09,2022-03-10
straight arm pulldown,2,10.0,0.0,80.09,2022-03-10
straight arm pulldown,3,9.0,0.0,80.09,2022-03-10
wide grip rows,1,14.0,55.0,80.09,2022-03-10
wide grip rows,2,12.0,55.0,80.09,2022-03-10
wide grip rows,3,12.0,55.0,80.09,2022-03-10
atg split squats,1,6.0,34.0,79.15,2022-03-12
atg split squats,2,6.0,31.5,79.15,2022-03-12
atg split squats,3,6.0,31.5,79.15,2022-03-12
hamstring curls,1,10.0,5.0,79.15,2022-03-12
hamstring curls,2,9.0,5.0,79.15,2022-03-12
hamstring curls,3,8.0,5.0,79.15,2022-03-12
sissy squats,1,12.0,0.0,79.15,2022-03-12
sissy squats,2,11.0,0.0,79.15,2022-03-12
sissy squats,3,10.0,0.0,79.15,2022-03-12
sumo dl,1,5.0,112.5,79.15,2022-03-12
sumo dl,2,5.0,112.5,79.15,2022-03-12
sumo dl,3,5.0,112.5,79.15,2022-03-12
sumo dl,4,5.0,112.5,79.15,2022-03-12
db shoulder press,1,8.0,0.0,78.21,2022-03-14
db shoulder press,2,7.0,0.0,78.21,2022-03-14
db shoulder press,3,7.0,0.0,78.21,2022-03-14
db shoulder press,4,7.0,0.0,78.21,2022-03-14
pull ups,1,12.0,0.0,78.21,2022-03-14
pull ups,2,8.0,0.0,78.21,2022-03-14
pull ups,3,6.0,0.0,78.21,2022-03-14
pull ups,4,6.0,0.0,78.21,2022-03-14
barbell hacksquat,1,5.0,112.5,79.795,2022-03-17
barbell hacksquat,2,5.0,112.5,79.795,2022-03-17
barbell hacksquat,3,5.0,110.0,79.795,2022-03-17
barbell hacksquat,4,5.0,110.0,79.795,2022-03-17
romanian deadlifts,1,13.0,100.0,79.795,2022-03-17
romanian deadlifts,2,12.0,100.0,79.795,2022-03-17
romanian deadlifts,3,12.0,100.0,79.795,2022-03-17
reverse nordics,1,14.0,0.0,79.795,2022-03-17
reverse nordics,2,14.0,0.0,79.795,2022-03-17
reverse nordics,3,12.0,0.0,79.795,2022-03-17
hamstring curls,1,11.0,5.0,79.795,2022-03-17
hamstring curls,2,9.0,5.0,79.795,2022-03-17
hamstring curls,3,6.0,5.0,79.795,2022-03-17
barbell curls,1,9.0,45.0,78.805,2022-03-20
barbell curls,2,7.0,45.0,78.805,2022-03-20
barbell curls,3,7.0,45.0,78.805,2022-03-20
decline push ups,1,9.0,0.0,78.805,2022-03-20
decline push ups,2,7.0,0.0,78.805,2022-03-20
decline push ups,3,6.0,0.0,78.805,2022-03-20
decline push ups,4,6.0,0.0,78.805,2022-03-20
inverted delt rows,1,16.0,5.0,78.805,2022-03-20
inverted delt rows,2,12.0,7.0,78.805,2022-03-20
inverted delt rows,3,12.0,7.0,78.805,2022-03-20
ring push ups,1,5.0,10.0,78.805,2022-03-20
ring push ups,2,5.0,10.0,78.805,2022-03-20
ring push ups,3,4.0,7.5,78.805,2022-03-20
ring push ups,4,5.0,5.0,78.805,2022-03-20
side lateral,1,20.0,0.0,78.805,2022-03-20
side lateral,2,16.0,0.0,78.805,2022-03-20
side lateral,3,16.0,0.0,78.805,2022-03-20
straight arm pulldown,1,8.0,25.0,78.805,2022-03-20
straight arm pulldown,2,14.0,20.0,78.805,2022-03-20
straight arm pulldown,3,12.0,20.0,78.805,2022-03-20
atg split squats,1,6.0,31.5,79.14,2022-03-22
atg split squats,2,6.0,31.5,79.14,2022-03-22
atg split squats,3,5.0,31.5,79.14,2022-03-22
hamstring curls,1,10.0,5.0,79.14,2022-03-22
hamstring curls,2,9.0,5.0,79.14,2022-03-22
hamstring curls,3,8.0,5.0,79.14,2022-03-22
deadlifts,1,5.0,90.0,79.14,2022-03-22
deadlifts,2,5.0,100.0,79.14,2022-03-22
deadlifts,3,5.0,100.0,79.14,2022-03-22
deadlifts,4,5.0,100.0,79.14,2022-03-22
sissy squats,1,12.0,0.0,79.14,2022-03-22
sissy squats,2,12.0,0.0,79.14,2022-03-22
sissy squats,3,12.0,0.0,79.14,2022-03-22
db shoulder press,1,7.0,20.0,79.145,2022-03-25
db shoulder press,2,6.0,20.75,79.145,2022-03-25
db shoulder press,3,4.0,20.75,79.145,2022-03-25
db shoulder press,4,4.0,20.75,79.145,2022-03-25
decline press,1,12.0,0.0,79.145,2022-03-25
decline press,2,10.0,0.0,79.145,2022-03-25
decline press,3,8.0,0.0,79.145,2022-03-25
lat pulldown,1,8.0,65.0,79.145,2022-03-25
lat pulldown,2,8.0,60.0,79.145,2022-03-25
lat pulldown,3,10.0,55.0,79.145,2022-03-25
inverted rows,1,12.0,0.0,79.145,2022-03-25
inverted rows,2,11.0,0.0,79.145,2022-03-25
inverted rows,3,10.0,0.0,79.145,2022-03-25
pull ups,1,4.0,13.75,79.145,2022-03-25
pull ups,2,5.0,11.25,79.145,2022-03-25
pull ups,3,4.0,8.75,79.145,2022-03-25
pull ups,4,4.0,7.5,79.145,2022-03-25
romanian deadlifts,1,12.0,95.0,78.59,2022-03-27
romanian deadlifts,2,12.0,90.0,78.59,2022-03-27
romanian deadlifts,3,12.0,90.0,78.59,2022-03-27
reverse nordics,1,16.0,0.0,78.59,2022-03-27
reverse nordics,2,14.0,0.0,78.59,2022-03-27
reverse nordics,3,13.0,0.0,78.59,2022-03-27
hamstring curls,1,11.0,5.0,78.59,2022-03-27
hamstring curls,2,11.0,5.0,78.59,2022-03-27
hamstring curls,3,9.0,5.0,78.59,2022-03-27
barbell curls,1,9.0,45.0,79.225,2022-03-29
barbell curls,2,7.0,45.0,79.225,2022-03-29
barbell curls,3,6.0,45.0,79.225,2022-03-29
decline push ups,1,10.0,0.0,79.225,2022-03-29
decline push ups,2,7.0,0.0,79.225,2022-03-29
decline push ups,3,6.0,0.0,79.225,2022-03-29
decline push ups,4,6.0,0.0,79.225,2022-03-29
inverted delt rows,1,13.0,0.0,79.225,2022-03-29
inverted delt rows,2,12.0,0.0,79.225,2022-03-29
inverted delt rows,3,12.0,0.0,79.225,2022-03-29
ring push ups,1,5.0,7.5,79.225,2022-03-29
ring push ups,2,5.0,6.25,79.225,2022-03-29
ring push ups,3,5.0,5.0,79.225,2022-03-29
ring push ups,4,4.0,3.75,79.225,2022-03-29
side lateral,1,24.0,0.0,79.225,2022-03-29
side lateral,2,22.0,0.0,79.225,2022-03-29
side lateral,3,22.0,0.0,79.225,2022-03-29
straight arm pulldown,1,3.0,25.0,79.225,2022-03-29
straight arm pulldown,2,12.0,20.0,79.225,2022-03-29
straight arm pulldown,3,10.0,20.0,79.225,2022-03-29
atg split squats,1,6.0,31.5,78.755,2022-03-31
atg split squats,2,6.0,31.5,78.755,2022-03-31
atg split squats,3,6.0,31.5,78.755,2022-03-31
hamstring curls,1,9.0,5.0,78.755,2022-03-31
hamstring curls,2,8.0,5.0,78.755,2022-03-31
hamstring curls,3,8.0,5.0,78.755,2022-03-31
deadlifts,1,6.0,105.0,78.755,2022-03-31
deadlifts,2,6.0,105.0,78.755,2022-03-31
deadlifts,3,5.0,105.0,78.755,2022-03-31
deadlifts,4,6.0,105.0,78.755,2022-03-31
db shoulder press,1,8.0,20.0,78.93,2022-04-02
db shoulder press,2,5.0,20.75,78.93,2022-04-02
db shoulder press,3,5.0,20.75,78.93,2022-04-02
db shoulder press,4,4.0,20.75,78.93,2022-04-02
decline press,1,11.0,0.0,78.93,2022-04-02
decline press,2,9.0,0.0,78.93,2022-04-02
decline press,3,9.0,0.0,78.93,2022-04-02
