year,month,day,Weight (kg)
2021,10,21,76.72
2021,10,21,75.29
2021,10,22,74.8
2021,10,22,73.96
2021,10,22,74.37
2021,10,22,73.77
2021,10,23,75.24
2021,10,23,74.58
2021,10,24,75.65
2021,10,24,74.36
2021,10,25,74.95
2021,10,25,74.31
2021,10,25,74.38
2021,10,25,75.65
2021,10,26,74.03
2021,10,26,75.56
2021,10,27,73.62
2021,10,27,75.26
2021,10,28,73.66
2021,10,28,76.12
2021,10,29,74.12
2021,10,30,75.35
2021,10,30,74.49
2021,10,31,76.47
2021,10,31,75.64
2021,10,31,75.52
2021,10,31,75.95
2021,11,1,74.83
2021,11,1,74.67
2021,11,1,76.17
2021,11,2,75.08
2021,11,3,75.47
2021,11,4,75.99
2021,11,4,74.86
2021,11,4,76.16
2021,11,5,74.78
2021,11,6,76.07
2021,11,6,74.98
2021,11,6,76.17
2021,11,7,74.6
2021,11,8,73.7
2021,11,9,74.85
2021,11,9,74.08
2021,11,10,75.79
2021,11,10,74.45
2021,11,11,73.93
2021,11,12,74.64
2021,11,12,75.13
2021,11,13,73.91
2021,11,14,74.78
2021,11,14,73.83
2021,11,14,74.63
2021,11,15,73.44
2021,11,16,72.82
2021,11,17,72.63
2021,11,17,73.57
2021,11,18,72.46
2021,11,18,74.56
2021,11,19,73.09
2021,11,19,74.95
2021,11,20,73.36
2021,11,21,73.79
2021,11,21,74.85
2021,11,22,73.48
2021,11,22,75.42
2021,11,23,74.52
2021,11,24,74.12
2021,11,24,74.49
2021,11,25,74.06
2021,11,25,75.08
2021,11,26,74.45
2021,11,26,75.32
2021,11,26,74.65
2021,11,27,73.14
2021,11,28,73.36
2021,11,28,74.7
2021,11,29,73.19
2021,11,30,74.02
2021,12,1,74.47
2021,12,2,74.94
2021,12,2,73.58
2021,12,2,75.2
2021,12,3,73.14
2021,12,3,73.5
2021,12,3,74.4
2021,12,4,73.6
2021,12,5,73.86
2021,12,5,76.05
2021,12,6,74.7
2021,12,6,75.91
2021,12,7,74.46
2021,12,8,74.19
2021,12,8,76.23
2021,12,9,74.82
2021,12,9,75.89
2021,12,10,74.59
2021,12,10,76.05
2021,12,11,74.58
2021,12,11,76.04
2021,12,12,74.55
2021,12,12,75.45
2021,12,13,74.59
2021,12,14,74.93
2021,12,14,74.41
2021,12,14,75.41
2021,12,15,74.22
2021,12,16,74.72
2021,12,16,76.14
2021,12,17,74.66
2021,12,18,75.1
2021,12,19,74.85
2021,12,19,75.62
2021,12,20,74.51
2021,12,20,76.07
2021,12,21,74.24
2021,12,22,75.31
2021,12,22,74.14
2021,12,23,75.92
2021,12,23,75.05
2021,12,24,75.87
2021,12,25,76.49
2021,12,26,77.27
2021,12,26,75.94
2021,12,26,76.89
2021,12,27,76.14
2021,12,27,77.46
2021,12,28,75.93
2021,12,28,77.11
2021,12,29,75.46
2021,12,29,76.95
2021,12,30,76.2
2021,12,30,77.39
2021,12,31,76.16
2021,12,31,77.64
2022,1,1,76.53
2022,1,1,77.87
2022,1,2,76.24
2022,1,2,76.46
2022,1,3,75.16
2022,1,3,76.37
2022,1,4,74.95
2022,1,4,75.2
2022,1,5,74.83
2022,1,6,76.39
2022,1,6,77.24
2022,1,7,75.94
2022,1,8,76.04
2022,1,8,75.22
2022,1,8,75.97
2022,1,9,74.87
2022,1,9,76.85
2022,1,10,75.5
2022,1,10,77.22
2022,1,11,75.91
2022,1,12,76.18
2022,1,13,76.93
2022,1,13,77.25
2022,1,14,76.59
2022,1,14,76.92
2022,1,15,75.61
2022,1,15,76.94
2022,1,16,75.48
2022,1,16,77.26
2022,1,17,75.91
2022,1,17,76.42
2022,1,18,75.02
2022,1,18,75.8
2022,1,19,74.94
2022,1,20,75.86
2022,1,20,76.38
2022,1,21,74.85
2022,1,22,75.97
2022,1,23,76.35
2022,1,23,78.33
2022,1,24,77.08
2022,1,24,78.06
2022,1,25,76.91
2022,1,26,77.43
2022,1,26,75.96
2022,1,26,77.33
2022,1,27,75.65
2022,1,27,76.38
2022,1,28,75.49
2022,1,28,77.47
2022,1,29,76.2
2022,1,29,76.62
2022,1,30,76.22
2022,1,31,76.32
2022,2,1,77.02
2022,2,1,76.85
2022,2,1,77.21
2022,2,2,76.2
2022,2,2,78.25
2022,2,3,76.64
2022,2,3,76.69
2022,2,4,76.14
2022,2,5,77.88
2022,2,5,76.78
2022,2,5,77.73
2022,2,6,76.65
2022,2,6,78.27
2022,2,7,76.9
2022,2,7,78.53
2022,2,8,76.94
2022,2,8,78.07
2022,2,9,76.46
2022,2,9,78.59
2022,2,10,77.57
2022,2,10,78.72
2022,2,11,77.17
2022,2,11,78.2
2022,2,12,76.54
2022,2,13,76.63
2022,2,13,77.79
2022,2,14,76.62
2022,2,14,78.2
2022,2,15,76.82
2022,2,15,78.08
2022,2,16,77.41
2022,2,16,78.64
2022,2,17,77.41
2022,2,18,78.71
2022,2,18,77.6
2022,2,18,78.76
2022,2,19,77.25
2022,2,19,78.73
2022,2,20,77.38
2022,2,21,79.33
2022,2,21,78.43
2022,2,22,77.57
2022,2,22,79.1
2022,2,23,77.76
2022,2,23,78.78
2022,2,24,77.61
2022,2,24,79.07
2022,2,25,77.54
2022,2,25,79.48
2022,2,26,77.73
2022,2,26,79.08
2022,2,27,77.55
2022,2,27,78.43
2022,2,28,77.08
2022,3,1,77.3
2022,3,1,78.77
2022,3,2,77.49
2022,3,2,78.42
2022,3,3,77.16
2022,3,4,78.94
2022,3,4,77.87
2022,3,4,79.57
2022,3,5,78.0
2022,3,5,79.82
2022,3,6,78.72
2022,3,6,80.43
2022,3,7,79.0
2022,3,7,80.89
2022,3,8,79.16
2022,3,8,80.4
2022,3,9,78.96
2022,3,9,80.99
2022,3,10,79.42
2022,3,10,80.76
2022,3,11,79.11
2022,3,11,79.94
2022,3,12,79.15
2022,3,13,78.87
2022,3,13,80.18
2022,3,14,78.21
2022,3,15,79.03
2022,3,15,79.82
2022,3,16,78.67
2022,3,16,80.32
2022,3,17,78.92
2022,3,17,80.67
2022,3,18,79.57
2022,3,18,80.65
2022,3,19,79.08
2022,3,19,79.51
2022,3,20,78.11
2022,3,20,79.5
2022,3,21,77.72
2022,3,21,79.43
2022,3,22,78.25
2022,3,22,80.03
2022,3,23,80.86
2022,3,24,79.62
2022,3,24,79.75
2022,3,25,78.24
2022,3,25,80.05
2022,3,26,78.78
2022,3,26,79.81
2022,3,27,77.75
2022,3,27,79.43
2022,3,28,78.07
2022,3,28,80.3
2022,3,29,78.48
2022,3,29,79.97
2022,3,30,78.38
2022,3,30,79.61
2022,3,31,78.05
2022,3,31,79.46
2022,4,1,78.02
2022,4,1,80.12
2022,4,2,78.11
2022,4,2,79.75
2022,4,3,78.19
2022,4,3,78.43
2022,4,4,78.38
2022,4,4,79.82
2022,4,5,78.8
2022,4,5,80.3
2022,4,6,78.68
2022,4,6,79.43
2022,4,7,78.99
2022,4,7,79.2
2022,4,8,78.07
2022,4,8,79.6
2022,4,9,78.27
2022,4,9,79.85
2022,4,10,78.36
2022,4,10,80.08
2022,4,11,78.44
2022,4,11,79.96
2022,4,12,78.45
2022,4,12,79.78
2022,4,13,78.91
2022,4,13,79.96
2022,4,14,78.88
2022,4,14,80.19
2022,4,15,78.69
2022,4,16,79.08
2022,4,16,80.33
2022,4,17,79.17
2022,4,17,79.99
2022,4,18,79.77
2022,4,18,80.66
2022,4,19,79.52
2022,4,20,79.14
2022,4,20,80.13
2022,4,21,79.36
2022,4,21,80.28
2022,4,22,79.03
2022,4,23,79.8
2022,4,23,79.13
2022,4,23,80.78
2022,4,24,79.64
2022,4,24,81.26
2022,4,25,79.77
2022,4,26,79.14
2022,4,26,80.66
2022,4,27,79.69
2022,4,27,80.83
2022,4,28,79.6
2022,4,28,81.04
2022,4,29,79.85
2022,4,29,80.88
2022,4,30,79.69
2022,5,1,79.23
2022,5,1,80.51
2022,5,2,79.12
2022,5,2,80.64
2022,5,3,79.53
2022,5,3,81.12
2022,5,4,79.78
2022,5,4,82.05
2022,5,5,80.35
2022,5,6,80.76
2022,5,7,80.72
2022,5,7,81.22
2022,5,8,80.59
2022,5,8,81.32
2022,5,9,79.61
2022,5,10,79.95
2022,5,10,80.83
2022,5,11,79.31
2022,5,11,80.77
2022,5,12,79.53
2022,5,12,79.34
2022,5,13,80.29
2022,5,14,79.28
2022,5,14,81.0
2022,5,15,79.53
2022,5,15,81.12
2022,5,16,79.33
2022,5,16,80.59
2022,5,17,79.61
2022,5,17,81.02
2022,5,18,79.38
2022,5,18,80.96
2022,5,19,79.54
2022,5,20,79.82
2022,5,21,79.75
2022,5,21,81.62
2022,5,22,80.2
2022,5,22,81.77
2022,5,23,80.48
2022,5,23,80.55
2022,5,24,79.89
2022,5,24,81.33
2022,5,25,80.1
2022,5,25,81.53
2022,5,26,80.14
2022,5,27,79.92
2022,5,27,80.78
2022,5,28,79.7
2022,5,29,81.54
2022,5,29,80.01
2022,5,29,82.32
2022,5,30,80.6
2022,5,30,81.89
2022,5,31,80.35
2022,6,1,81.48
2022,6,1,80.92
2022,6,1,82.12
2022,6,2,80.69
2022,6,2,82.53
2022,6,3,81.35
2022,6,4,80.43
2022,6,5,80.77
2022,6,5,82.24
2022,6,6,80.86
2022,6,6,83.12
2022,6,7,81.4
2022,6,8,81.38
2022,6,8,81.69
2022,6,9,80.4
2022,6,9,81.11
2022,6,10,79.9
2022,6,10,81.12
2022,6,11,79.83
2022,6,11,81.1
2022,6,12,79.29
2022,6,12,81.17
2022,6,13,79.85
2022,6,14,81.55
2022,6,14,80.15
2022,6,14,81.04
2022,6,15,80.42
2022,6,16,80.97
2022,6,17,82.21
2022,6,17,80.68
2022,6,17,82.73
2022,6,18,81.39
2022,6,19,81.99
2022,6,19,81.53
2022,6,19,81.92
2022,6,20,80.34
2022,6,21,82.4
2022,6,21,81.06
2022,6,22,81.75
2022,6,22,80.87
2022,6,23,82.7
2022,6,23,81.02
2022,6,23,82.49
2022,6,24,80.58
2022,6,25,81.98
2022,6,25,80.15
2022,6,25,82.34
2022,6,26,81.49
2022,6,27,82.28
2022,6,27,80.51
2022,6,27,82.18
2022,6,28,80.21
2022,6,29,82.05
2022,6,29,80.66
2022,6,30,80.84
2022,6,30,83.03
2022,7,1,80.81
2022,7,1,82.45
2022,7,2,80.63
2022,7,3,81.58
2022,7,3,80.64
2022,7,3,82.6
2022,7,4,80.78
2022,7,5,80.06
2022,7,5,80.85
2022,7,6,79.85
2022,7,6,81.88
2022,7,7,80.85
2022,7,7,82.8
2022,7,8,81.0
2022,7,8,82.89
2022,7,9,82.38
2022,7,10,80.9
2022,7,11,81.09
2022,7,11,83.2
2022,7,12,81.31
2022,7,12,82.41
2022,7,13,80.75
2022,7,14,82.09
2022,7,15,80.66
2022,7,15,81.81
2022,7,16,80.73
2022,7,16,81.73
2022,7,17,81.63
2022,7,18,80.05
2022,7,19,81.36
2022,7,19,80.28
2022,7,19,82.21
2022,7,20,81.4
2022,7,21,80.31
2022,7,21,81.8
2022,7,22,80.51
2022,7,23,80.86
2022,7,24,81.93
2022,7,24,81.03
2022,7,25,82.69
2022,7,25,80.69
2022,7,25,81.39
2022,7,26,80.33
2022,7,27,82.56
2022,7,28,81.77
2022,7,29,83.33
2022,7,29,81.75
2022,7,30,83.96
2022,7,30,82.13
2022,7,31,81.96
2022,8,1,83.96
2022,8,1,82.72
2022,8,2,81.98
2022,8,3,83.33
2022,8,3,81.99
2022,8,3,83.41
2022,8,4,81.63
2022,8,5,83.2
2022,8,5,81.5
2022,8,6,82.47
2022,8,6,81.64
2022,8,7,83.19
2022,8,7,81.76
2022,8,8,82.64
2022,8,8,81.45
2022,8,9,83.33
2022,8,9,81.53
2022,8,10,82.9
2022,8,10,81.2
2022,8,11,81.5
2022,8,11,82.57
2022,8,12,81.48
2022,8,13,81.19
2022,8,14,81.5
2022,8,15,81.61
2022,8,16,83.11
2022,8,16,81.43
2022,8,17,82.3
2022,8,17,81.29
2022,8,18,80.86
2022,8,18,83.13
2022,8,19,80.81
2022,8,20,83.0
2022,8,20,81.18
2022,8,20,83.15
2022,8,21,81.0
2022,8,21,82.65
2022,8,22,80.69
2022,8,22,82.59
2022,8,23,80.99
2022,8,24,81.14
2022,8,25,82.46
2022,8,25,81.32
2022,8,26,80.76
2022,8,27,81.79
2022,8,27,80.69
2022,8,28,81.84
2022,8,28,80.78
2022,8,28,81.75
2022,8,29,80.56
2022,8,30,80.92
2022,8,30,82.88
2022,8,31,81.47
2022,8,31,82.15
2022,9,1,81.18
2022,9,2,80.91
2022,9,3,83.23
2022,9,3,81.95
2022,9,3,82.82
2022,9,4,81.34
2022,9,4,82.7
2022,9,5,81.32
2022,9,5,82.65
2022,9,7,80.86
2022,9,7,82.46
2022,9,8,81.09
2022,9,9,82.08
2022,9,10,83.38
2022,9,10,81.63
2022,9,11,82.91
2022,9,11,81.82
2022,9,12,81.75
2022,9,13,81.48
2022,9,14,81.13
2022,9,15,81.93
2022,9,15,80.81
2022,9,16,82.24
2022,9,16,80.83
2022,9,17,82.37
2022,9,18,82.23
2022,9,19,82.03
2022,9,20,81.7
2022,9,21,81.7
2022,9,22,81.84
2022,9,23,81.24
2022,9,24,81.51
2022,9,25,80.86
2022,9,26,81.58
2022,9,26,80.63
2022,9,27,81.43
2022,9,28,81.14
2022,9,29,80.85
2022,9,30,80.65
2022,10,1,81.05
2022,10,2,81.31
2022,10,3,81.37
2022,10,4,81.32
2022,10,5,81.19
2022,10,6,81.53
2022,10,7,81.57
2022,10,8,81.65
2022,10,10,81.26
2022,10,11,80.84
2022,10,13,81.19
2022,10,14,80.49
2022,10,15,80.94
2022,10,17,80.9
2022,10,18,80.86
2022,10,19,81.47
2022,10,20,80.65
2022,10,21,80.32
2022,10,22,81.42
2022,10,23,80.92
2022,10,24,80.87
2022,10,25,81.09
2022,10,28,80.64
2022,10,29,80.64
2022,10,30,80.69
2022,10,31,81.23
2022,11,1,80.42
2022,11,2,80.88
2022,11,3,80.42
2022,11,4,81.22
2022,11,5,81.03
2022,11,6,81.1
2022,11,7,80.65
2022,11,8,81.33
2022,11,9,80.75
2022,11,10,80.24
2022,11,11,80.93
2022,11,12,80.93
2022,11,14,82.01
2022,11,15,82.24
2022,11,16,81.54
2022,11,17,81.21
2022,11,18,80.82
2022,11,20,81.14
2022,11,21,80.81
2022,11,22,81.33
2022,11,23,81.42
2022,11,24,81.34
2022,11,28,80.96
2022,11,29,81.05
2022,11,30,80.69
2022,12,1,81.13
2022,12,2,81.52
2022,12,4,81.58
2022,12,5,81.16
2022,12,6,80.92
2022,12,7,81.43
2022,12,8,81.27
2022,12,12,80.97
2022,12,13,81.63
2022,12,14,81.47
2022,12,15,81.6
2022,12,16,81.38
2022,12,17,82.09
2022,12,18,82.51
2022,12,19,81.88
2022,12,20,81.83
2022,12,21,81.72
2022,12,22,81.83
2022,12,23,81.39
2022,12,24,81.43
2022,12,25,81.75
2022,12,26,80.97
2022,12,27,81.56
2022,12,28,81.52
2022,12,29,81.46
2022,12,31,81.25
2023,1,1,81.2
2023,1,2,80.72
2023,1,4,80.94
2023,1,5,81.46
2023,1,6,81.44
2023,1,7,81.49
2023,1,8,81.48
2023,1,9,81.21
2023,1,10,81.79
2023,1,11,81.02
2023,1,12,81.21
2023,1,14,81.59
2023,1,15,81.83
2023,1,16,81.27
2023,1,17,81.31
2023,1,18,81.31
2023,1,19,81.52
2023,1,20,81.26
2023,1,21,81.61
2023,1,22,81.28
2023,1,23,81.06
2023,1,24,81.67
2023,1,26,80.64
2023,1,27,81.14
2023,1,28,81.01
2023,1,29,81.22
2023,1,30,80.61
2023,1,31,80.95
2023,2,1,80.7
2023,2,2,80.48
2023,2,3,80.04
2023,2,4,80.45
2023,2,5,80.6
2023,2,6,81.79
2023,2,7,81.51
2023,2,8,80.97
2023,2,9,81.33
2023,2,10,81.33
2023,2,11,81.07
2023,2,12,81.49
2023,2,13,81.15
2023,2,14,81.23
2023,2,15,81.33
2023,2,16,80.92
2023,2,17,80.57
2023,2,17,80.67
2023,2,18,80.41
2023,2,19,80.6
2023,2,20,80.27
2023,2,21,80.18
2023,2,22,80.74
2023,2,23,80.07
2023,2,24,79.8
